Title,Price,Image URL
2017/2019 Apple Macbook Pro Core 4.0GHz i7 TURBO VENTURA 2TB SSD 16GB A1708,US $650.00,https://i.ebayimg.com/thumbs/images/g/Hg8AAOSw4-RmcKcc/s-l300.webp
"Apple 2020 13"" MacBook Pro A2289 i5 1.4GHz  8GB RAM 256GB SSD",US $399.99,https://i.ebayimg.com/thumbs/images/g/t0QAAOSwbfFmagMl/s-l300.webp
"Apple MacBook Pro 13.3"" (750GB HDD, Intel Core i7-3520M, 2.90 GHz, 8GB RAM)...",US $110.00,https://i.ebayimg.com/thumbs/images/g/h14AAOSwd3lmcD6S/s-l300.webp
"Apple MacBook Pro 15"" 2017 A1707 - *PARTS KEYBOARD/BATTERY SEE DESCRIPTION",US $149.99,https://i.ebayimg.com/thumbs/images/g/3XoAAOSwmZFmacyE/s-l300.webp
"Apple MacBook Pro Touch/2017 Intel i5-7287U 3.30 GHz 16GB RAM 256GB SSD 13""",US $235.50,https://i.ebayimg.com/thumbs/images/g/wHkAAOSwi21madjC/s-l300.webp
Apple 14 MacBook Pro M1 Pro 8-Core CPU and 14-core GPU 2021/2022 512GB SSD 16GB,"US $1,339.00",https://i.ebayimg.com/thumbs/images/g/888AAOSw8gJmcHsQ/s-l300.webp
Apple Macbook PRO i5-3210M 2.50GHz 8GB RAM 128GB SSD HIGH SIERRA FATHER DAY GIFT,US $110.00/ea,https://i.ebayimg.com/thumbs/images/g/FvEAAOSw14dmWTPi/s-l300.webp
"Apple MacBook Pro M1 Max 10core 64GB 2TB  32C14.2"" gray 2021 MKH53LL/A SEALED✅❤️","US $2,399.99",https://i.ebayimg.com/thumbs/images/g/tJIAAOSwgUdlLZZ7/s-l300.webp
Apple MacBook Pro 13.3” 2.5GHz i5 16GB RAM 1TB HDD Loaded,US $299.00,https://i.ebayimg.com/thumbs/images/g/0psAAOSwM7lkAn-A/s-l300.webp
APPLE MACBOOK PRO INTEL i5 2.3GHz 8GB RAM 120GB SSD MACOS SONOMA 14.3.1 GIFT SET,US $140.00/ea,https://i.ebayimg.com/thumbs/images/g/PSAAAOSwhXlmIauD/s-l300.webp
